Row,Name,Synonym,Mol. form.,CAS Reg. No.,Beilstein Reg. No.,Mol. wt.,Physical form,mp/º﻿C,bp/º﻿C,Other bp/º﻿C,den/g cm<sup>-3</sup>,<i>n</i><sub>D</sub>,<i>s</i>/g  kg<sup>-1</sup>,vp/kPa (25 °﻿C),Solubility
58,"Acetyl chloride","Ethanoyl chloride","C<sub>2</sub>H<sub>3</sub>ClO","75-36-5",605303,"78.497","liq","-112.7(8)","51(2)",,"1.1051<sup>20</sup>","1.3886<sup>20</sup>",,"38.4","msc eth, ace, bz, chl; s ctc",
59,"Acetylcholine bromide",,"C<sub>7</sub>H<sub>16</sub>BrNO<sub>2</sub>","66-23-9",3572117,"226.112","hyg cry",146,,,,,,,"vs H<sub>2</sub>O",
60,"Acetylcholine chloride",,"C<sub>7</sub>H<sub>16</sub>ClNO<sub>2</sub>","60-31-1",3571875,"181.661",,150,,,,,,,"s H<sub>2</sub>O, EtOH; i eth",
61,"Acetylcholine iodide",,"C<sub>7</sub>H<sub>16</sub>INO<sub>2</sub>","2260-50-6",3571339,"273.112","hyg",163,,,,,,,,
62,"2-Acetylcyclohexanone",,"C<sub>8</sub>H<sub>12</sub>O<sub>2</sub>","874-23-7",1858621,"140.180",,"-11",,"112<sup>18</sup>, 101<sup>14</sup>","1.0782<sup>25</sup>","1.5138<sup>20</sup>",,,"s ctc",
63,"2-Acetylcyclopentanone",,"C<sub>7</sub>H<sub>10</sub>O<sub>2</sub>","1670-46-8",1857601,"126.153",,,,"73<sup>20</sup>","1.0431<sup>25</sup>","1.4906<sup>20</sup>",,,,
64,"<i>N</i>-Acetyl-<small>L</small>-cysteine","2-Acetamido-3-mercaptopropanoic acid","C<sub>5</sub>H<sub>9</sub>NO<sub>3</sub>S","616-91-1",1724426,"163.195","cry (w)","109.5",,,,,,,,
65,"3-Acetyldihydro-2(3<i>H</i>)-furanone","α-Acetylbutyrolactone","C<sub>6</sub>H<sub>8</sub>O<sub>3</sub>","517-23-7",112676,"128.126",,,,"107<sup>5</sup>","1.1846<sup>20</sup>","1.4585<sup>20</sup>",,,"vs H<sub>2</sub>O",
66,"1-Acetyl-2,5-dihydroxybenzene","2,5-Dihydroxyacetophenone","C<sub>8</sub>H<sub>8</sub>O<sub>3</sub>","490-78-8",637903,"152.148","ye grn nd (dil al or w)","205.3",,,,,,,"sl H<sub>2</sub>O, eth, bz; s EtOH",
67,"Acetylene","Ethyne","C<sub>2</sub>H<sub>2</sub>","74-86-2",906677,"26.037","col gas","-81.5(9)","-84.7 sp",,"0.377<sup>25</sup> (p>1 atm)",,"1.08<sup>25</sup>",,"sl H<sub>2</sub>O, EtOH, CS<sub>2</sub>; s ace, bz, chl",
68,"<i>N</i>-Acetylethanolamine",,"C<sub>4</sub>H<sub>9</sub>NO<sub>2</sub>","142-26-7",1811708,"103.120",,"63.5",,"166<sup>8</sup>","1.1079<sup>25</sup>","1.4674<sup>20</sup>",,,"msc H<sub>2</sub>O; s ace; sl bz, lig",
69,"Acetyl fluoride","Ethanoyl fluoride","C<sub>2</sub>H<sub>3</sub>FO","557-99-3",1733308,"62.042","vol liq or gas","-84","22(7)",,"1.032<sup>25</sup>",,,117,"msc EtOH, eth; s bz, chl; sl CS<sub>2</sub>",
70,"<i>N</i>-Acetylglutamic acid",,"C<sub>7</sub>H<sub>11</sub>NO<sub>5</sub>","1188-37-0",1727473,"189.166","pr (w)",199,,,,,,,"s H<sub>2</sub>O, EtOH",
71,"<i>N</i>-Acetylglycine","Aceturic acid","C<sub>4</sub>H<sub>7</sub>NO<sub>3</sub>","543-24-8",774114,"117.104","lo nd (w, MeOH)",206,,,,,,,"vs H<sub>2</sub>O, ace, EtOH",
72,"<i>trans</i>-1-Acetyl-4-hydroxy-<small>L</small>-proline","Oxaceprol","C<sub>7</sub>H<sub>11</sub>NO<sub>4</sub>","33996-33-7",84043,"173.167","cry (Ac)",132,,,,,,,"vs H<sub>2</sub>O, MeOH",
73,"1-Acetyl-1<i>H</i>-imidazole",,"C<sub>5</sub>H<sub>6</sub>N<sub>2</sub>O","2466-76-4",108425,"110.114",,"104.5",,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, chl, THF",
74,"Acetyl iodide","Ethanoyl iodide","C<sub>2</sub>H<sub>3</sub>IO","507-02-8",1733780,"169.948",,,"109(5)",,"2.0673<sup>20</sup>","1.5491<sup>20</sup>",,"4.32","vs eth",
75,"Acetyl isothiocyanate",,"C<sub>3</sub>H<sub>3</sub>NOS","13250-46-9",635801,"101.127",,,"132.5",,"1.1523<sup>13</sup>","1.5231<sup>18</sup>",,,"s eth, CS<sub>2</sub>",
76,"<i>N</i><sup>6</sup>-Acetyl-<small>L</small>-lysine",,"C<sub>8</sub>H<sub>16</sub>N<sub>2</sub>O<sub>3</sub>","692-04-6",1725438,"188.224",,"265 dec",,,,,,,,
77,"<i>N</i>-Acetyl-<small>DL</small>-methionine",,"C<sub>7</sub>H<sub>13</sub>NO<sub>3</sub>S","1115-47-5",1725554,"191.248",,"114.5",,,,,,,,
78,"<i>N</i>-Acetyl-<small>L</small>-methionine","Methionamine","C<sub>7</sub>H<sub>13</sub>NO<sub>3</sub>S","65-82-7",1725552,"191.248",,"105.5",,,,,,,,
79,"1-Acetyl-17-methoxyaspidospermidine","Aspidospermine","C<sub>22</sub>H<sub>30</sub>N<sub>2</sub>O<sub>2</sub>","466-49-9",48882,"354.485","nd or pr (al) nd (peth)",208,,"220<sup>2</sup>",,,,,"sl H<sub>2</sub>O, eth; s EtOH, bz, chl",
80,"<i>N</i>-Acetyl-<i>N</i>-methylacetamide",,"C<sub>5</sub>H<sub>9</sub>NO<sub>2</sub>","1113-68-4",605869,"115.131","liq","-25",195,"114.5<sup>61</sup>","1.0663<sup>25</sup>","1.4502<sup>25</sup>",,,"msc H<sub>2</sub>O; i eth",
81,"1-Acetyl-3-methylpiperidine",,"C<sub>8</sub>H<sub>15</sub>NO","4593-16-2",1306369,"141.211","liq","-13.6",239,,"0.9684<sup>25</sup>","1.4731<sup>25</sup>",,,"vs H<sub>2</sub>O",
82,"3-Acetyl-6-methyl-2<i>H</i>-pyran-2,4(3<i>H</i>)-dione","Dehydroacetic acid","C<sub>8</sub>H<sub>8</sub>O<sub>4</sub>","520-45-6",6129,"168.148",,109,270,,,,,,"vs H<sub>2</sub>O, eth; sl EtOH, chl",
83,"4-Acetylmorpholine",,"C<sub>6</sub>H<sub>11</sub>NO<sub>2</sub>","1696-20-4",111971,"129.157",,"14.5",,"152<sup>50</sup>, 118<sup>12</sup>","1.1145<sup>20</sup>","1.4827<sup>20</sup>",,,"msc H<sub>2</sub>O; s EtOH, ace, ctc",
84,"<i>N</i>-Acetylneuraminic acid","Aceneuramic acid","C<sub>11</sub>H<sub>19</sub>NO<sub>9</sub>","131-48-6",,"309.271",,186,,,,,,,,
85,"Acetyl nitrate",,"C<sub>2</sub>H<sub>3</sub>NO<sub>4</sub>","591-09-3",1751232,"105.050",,,"60 exp","22<sup>70</sup>","1.24<sup>15</sup>",,,,,
86,"2-(Acetyloxy)benzoic acid","Acetylsalicylic acid","C<sub>9</sub>H<sub>8</sub>O<sub>4</sub>","50-78-2",779271,"180.158","nd (w), mcl tab (w)","136(4)",,,,,,,"s H<sub>2</sub>O, eth, chl; vs EtOH; sl bz",
87,"4-(Acetyloxy)benzoic acid",,"C<sub>9</sub>H<sub>8</sub>O<sub>4</sub>","2345-34-8",1871997,"180.158",,"188.5",,,,,,,,
88,"2-(Acetyloxy)-5-bromobenzoic acid","5-Bromoacetylsalicylic acid","C<sub>9</sub>H<sub>7</sub>BrO<sub>4</sub>","1503-53-3",2695058,"259.054","nd (al)",60,,,,,,,"i H<sub>2</sub>O; vs EtOH, eth",
89,"4-(Acetyloxy)-3-methoxybenzaldehyde",,"C<sub>10</sub>H<sub>10</sub>O<sub>4</sub>","881-68-5",1963795,"194.184",,78,,,,,,,"sl H<sub>2</sub>O; vs EtOH, eth",
90,"2-(Acetyloxy)-1-phenylethanone",,"C<sub>10</sub>H<sub>10</sub>O<sub>3</sub>","2243-35-8",1240545,"178.184","orth pl",49,270,,"1.1169<sup>65</sup>","1.5036<sup>65</sup>",,,"i H<sub>2</sub>O; vs EtOH, eth, chl; sl bz, lig",
91,"1-(Acetyloxy)-2-propanone","Acetoxyacetone","C<sub>5</sub>H<sub>8</sub>O<sub>3</sub>","592-20-1",1749857,"116.116",,,171,"63<sup>11</sup>","1.0757<sup>20</sup>","1.4141<sup>20</sup>",,,"vs H<sub>2</sub>O, eth, EtOH",
92,"(Acetyloxy)tributylstannane","Tributyltin acetate","C<sub>14</sub>H<sub>30</sub>O<sub>2</sub>Sn","56-36-0",639172,"349.097",,"84.7",,,,,,,,
93,"(Acetyloxy)triphenylstannane","Triphenyltin acetate","C<sub>20</sub>H<sub>18</sub>O<sub>2</sub>Sn","900-95-8",4146107,"409.066",,"125.2(5)",,,,,,,,
94,"4-Acetylphenyl acetate",,"C<sub>10</sub>H<sub>10</sub>O<sub>3</sub>","13031-43-1",2093080,"178.184",,,,,,,,,"s ctc, CS<sub>2</sub>",
95,"<i>N</i>-Acetyl-<small>L</small>-phenylalanine",,"C<sub>11</sub>H<sub>13</sub>NO<sub>3</sub>","2018-61-3",2213853,"207.226",,"173.5",,,,,,,"s EtOH",
96,"<i>N</i>-Acetyl-<small>L</small>-phenylalanine, ethyl ester",,"C<sub>13</sub>H<sub>17</sub>NO<sub>3</sub>","2361-96-8",,"235.279","cry (EtOH aq)",93,,,,,,,,
97,"<i>N</i>-Acetyl-<small>L</small>-phenylalanine, methyl ester",,"C<sub>12</sub>H<sub>15</sub>NO<sub>3</sub>","3618-96-0",,"221.252","nd (peth) or visc oil (chl)",91,,,,,,,,
98,"Acetyl phosphate",,"C<sub>2</sub>H<sub>5</sub>O<sub>5</sub>P","590-54-5",,"140.032","unstab in soln",,,,,,,,,
99,"1-Acetylpiperidine",,"C<sub>7</sub>H<sub>13</sub>NO","618-42-8",109570,"127.184","liq","-13.4","226.5",,"1.011<sup>9</sup>","1.4790<sup>25</sup>",,,"vs H<sub>2</sub>O, EtOH",
100,"1-Acetyl-4-piperidinone",,"C<sub>7</sub>H<sub>11</sub>NO<sub>2</sub>","32161-06-1",116031,"141.168",,,218,"124<sup>0.2</sup>","1.146<sup>25</sup>","1.5026<sup>20</sup>",,,,
551,"(Azidomethyl)benzene",,"C<sub>7</sub>H<sub>7</sub>N<sub>3</sub>","622-79-7",1907583,"133.151",,,,"108<sup>23</sup>, 78<sup>12</sup>","1.0730<sup>19</sup>","1.5341<sup>25</sup>",,,"i H<sub>2</sub>O; msc EtOH, eth",
552,"Azinphos ethyl",,"C<sub>12</sub>H<sub>16</sub>N<sub>3</sub>O<sub>3</sub>PS<sub>2</sub>","2642-71-9",,"345.377","nd","51.3(5)",,"111<sup>0.001</sup>","1.284<sup>20</sup>",,,,"reac alk",
553,"Azinphos-methyl",,"C<sub>10</sub>H<sub>12</sub>N<sub>3</sub>O<sub>3</sub>PS<sub>2</sub>","86-50-0",,"317.324",,"72(2)",,,"1.44<sup>20</sup>",,"0.0209<sup>20</sup>",,,
554,"1-Aziridineethanol",,"C<sub>4</sub>H<sub>9</sub>NO","1072-52-2",102514,"87.120",,,168,,"1.088<sup>25</sup>","1.4560<sup>20</sup>",,,,
555,"<i>cis</i>-Azobenzene","<i>cis</i>-Diphenyldiazene","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>","1080-16-6",956888,"182.220","oran-red pl (peth)","71.6(4)",,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, bz, HOAc, lig",
556,"<i>trans</i>-Azobenzene","<i>trans</i>-Diphenyldiazene","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>","17082-12-1",742610,"182.220","oran-red mcl lf (al)","67.88(3)","300.0(6)",,"1.203<sup>20</sup>","1.6266<sup>78</sup>","0.3<sup>20</sup>",,"sl H<sub>2</sub>O; s EtOH, eth, bz, chl; vs py",
557,"3,3'-Azobenzenedisulfonyl chloride",,"C<sub>12</sub>H<sub>8</sub>Cl<sub>2</sub>N<sub>2</sub>O<sub>4</sub>S<sub>2</sub>","104115-88-0",699413,"379.239","red nd (eth)","166.5",,,,,,,"vs eth",
558,"1,1'-Azobiscyclohexanecarbonitrile",,"C<sub>14</sub>H<sub>20</sub>N<sub>4</sub>","2094-98-6",960744,"244.336",,100,,,,,,,"i H<sub>2</sub>O; s lig",
559,"2,2'-Azobis[isobutyronitrile]","2,2'-Azobis[2-methylpropionitrile]","C<sub>8</sub>H<sub>12</sub>N<sub>4</sub>","78-67-1",1708400,"164.208",,,,,,,,,"i H<sub>2</sub>O; sl EtOH, eth",
560,"Azobutane",,"C<sub>8</sub>H<sub>18</sub>N<sub>2</sub>","2159-75-3",,"142.242",,,,"60<sup>18</sup>",,,,,,
561,"Azopropane",,"C<sub>6</sub>H<sub>14</sub>N<sub>2</sub>","821-67-0",,"114.188",,,114,,,,,,,
562,"<i>cis</i>-Azoxybenzene","Diphenyldiazene 1-oxide, (<i>E</i>)-","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>O","21650-65-7",957552,"198.219",,87,,,"1.166<sup>20</sup>","1.633<sup>20</sup>",,,,
563,"<i>trans</i>-Azoxybenzene","Diphenyldiazene 1-oxide, (<i>Z</i>)-","C<sub>12</sub>H<sub>10</sub>N<sub>2</sub>O","20972-43-4",,"198.219",,"34.6",,,"1.1590<sup>26</sup>",,,,"i H<sub>2</sub>O; s EtOH, eth",
564,"Azoxyethane","Diethyldiazine 1-oxide","C<sub>4</sub>H<sub>10</sub>N<sub>2</sub>O","16301-26-1",,"102.134","liq",,46,,,,,,,
565,"Azulene","Bicyclo[5.3.0]decapentaene","C<sub>10</sub>H<sub>8</sub>","275-51-4",969517,"128.171","bl or gr-blk lf (al)",99,"249.0(5)","125<sup>10</sup>",,,,"0.001","i H<sub>2</sub>O; s EtOH, eth, ace, acid; sl chl",
566,"Balan","<i>N</i>-Butyl-<i>N</i>-ethyl-2,6-dinitro-4-(trifluoromethyl)aniline","C<sub>13</sub>H<sub>16</sub>F<sub>3</sub>N<sub>3</sub>O<sub>4</sub>","1861-40-1",,"335.279",,"65.6(5)",,"121<sup>0.5</sup>, 148<sup>7</sup>",,,,,,
567,"Barban","Carbamic acid, (3-chlorophenyl)-, 4-chloro-2-butynyl ester","C<sub>11</sub>H<sub>9</sub>Cl<sub>2</sub>NO<sub>2</sub>","101-27-9",,"258.101",,"72.4(5)",,,,,,,,
568,"Barbital","5,5-Diethylbarbituric acid","C<sub>8</sub>H<sub>12</sub>N<sub>2</sub>O<sub>3</sub>","57-44-3",163999,"184.192","nd (w)","189(1)",,,"1.220<sup>25</sup>",,,,"sl H<sub>2</sub>O; s EtOH, eth, ace, chl, lig, tfa",
569,"Barbituric acid",,"C<sub>4</sub>H<sub>4</sub>N<sub>2</sub>O<sub>3</sub>","67-52-7",120502,"128.086","orth pr (w +2)",248,"260 dec",,,,,,"s H<sub>2</sub>O, eth; sl EtOH",
570,"Bayleton","Triadimefon","C<sub>14</sub>H<sub>16</sub>ClN<sub>3</sub>O<sub>2</sub>","43121-43-3",,"293.749",,"77.0(5)",,,"1.22<sup>20</sup>",,"0.26<sup>20</sup>",,,
571,"Bebeerine",,"C<sub>36</sub>H<sub>38</sub>N<sub>2</sub>O<sub>6</sub>","477-60-1",,"594.696","cry (bz, eth, chl-MeOH)",221,,,,,,,"s EtOH, MeOH, eth; vs ace, chl",
572,"Benactyzine","2-(Diethylamino)ethyl benzilate","C<sub>20</sub>H<sub>25</sub>NO<sub>3</sub>","302-40-9",,"327.418","cry",51,,,,,,,,
573,"Benactyzine hydrochloride","2-Diethylaminoethyl benzilate hydrochloride","C<sub>20</sub>H<sub>26</sub>ClNO<sub>3</sub>","57-37-4",3920541,"363.878",,"177.5",,,,,,,"s H<sub>2</sub>O; i eth",
574,"Benalaxyl","Methyl <i>N</i>-(2,6-dimethylphenyl)-<i>N</i>-(phenylacetyl)-<small>DL</small>-alaninate","C<sub>20</sub>H<sub>23</sub>NO<sub>3</sub>","71626-11-4",,"325.402",,79,,,"1.27<sup>25</sup>",,,,,
575,"Bendiocarb","1,3-Benzodioxol-4-ol, 2,2-dimethyl-, methylcarbamate","C<sub>11</sub>H<sub>13</sub>NO<sub>4</sub>","22781-23-3",,"223.226",,"129.6(5)",,,"1.25<sup>20</sup>",,"0.04<sup>25</sup>",,,
576,"Bendroflumethiazide",,"C<sub>15</sub>H<sub>14</sub>F<sub>3</sub>N<sub>3</sub>O<sub>4</sub>S<sub>2</sub>","73-48-3",,"421.415","cry",225,,,,,,,"i H<sub>2</sub>O, bz, eth; s EtOH, ace",
577,"Benomyl",,"C<sub>14</sub>H<sub>18</sub>N<sub>4</sub>O<sub>3</sub>","17804-35-2",,"290.318",,"dec",,,,,,,,
578,"Bensulfuron-methyl",,"C<sub>16</sub>H<sub>18</sub>N<sub>4</sub>O<sub>7</sub>S","83055-99-6",,"410.402",,187,,,,,,,,
579,"Bensulide",,"C<sub>14</sub>H<sub>24</sub>NO<sub>4</sub>PS<sub>3</sub>","741-58-2",,"397.514",,"38.4(5)",,,"1.224<sup>20</sup>",,,,,
580,"Bentazon","1<i>H</i>-2,1,3-Benzothiadiazin-4(3<i>H</i>)-one, 3-(1-methylethyl)-, 2,2-dioxide","C<sub>10</sub>H<sub>12</sub>N<sub>2</sub>O<sub>3</sub>S","25057-89-0",,"240.278",,"139.7(5)",,,,,"0.50<sup>20</sup>",,,
581,"Benz[<i>c</i>]acridine","12-Azabenz[<i>a</i>]anthracene","C<sub>17</sub>H<sub>11</sub>N","225-51-4",154999,"229.276","nd (dil al)",132,,,,,,,"vs bz, eth, EtOH",
582,"Benzaldehyde","Benzenecarboxaldehyde","C<sub>7</sub>H<sub>6</sub>O","100-52-7",471223,"106.122","liq","-57.12(5)","178.7(4)",,"1.0401<sup>25</sup>","1.5463<sup>20</sup>","3<sup>20</sup>","0.169","sl H<sub>2</sub>O; msc EtOH, eth; vs ace, bz",
583,"Benzaldehyde hydrazone","Benzylidene hydrazine","C<sub>7</sub>H<sub>8</sub>N<sub>2</sub>","5281-18-5",1854655,"120.152","lf",16,,"140<sup>14</sup>",,,,,"s EtOH",
584,"<i>cis</i>-Benzaldehyde oxime",,"C<sub>7</sub>H<sub>7</sub>NO","622-32-2",1904455,"121.137","pr","36.5",200,,"1.1111<sup>20</sup>","1.5908<sup>20</sup>",,,"vs bz, eth, EtOH",
585,"<i>trans</i>-Benzaldehyde oxime",,"C<sub>7</sub>H<sub>7</sub>NO","622-31-1",1209596,"121.137","nd (eth)",35,,"119<sup>10</sup>","1.145<sup>20</sup>",,,,"s H<sub>2</sub>O; vs EtOH, eth",
586,"Benzaldehyde, phenylhydrazone",,"C<sub>13</sub>H<sub>12</sub>N<sub>2</sub>","588-64-7",743427,"196.247","nd (lig), pr","157.0",,,,,,,"sl EtOH, eth; s ace, bz, liq NH<sub>3</sub>",
587,"Benzaldehyde, (phenylmethylene)hydrazone",,"C<sub>14</sub>H<sub>12</sub>N<sub>2</sub>","588-68-1",,"208.258","ye pr (al)","93(1)",,,,,,,"i H<sub>2</sub>O; s EtOH, eth, ace, bz, chl; sl ctc",
588,"Benzamide","Benzoic acid amide","C<sub>7</sub>H<sub>7</sub>NO","55-21-0",385876,"121.137","mcl pr or pl (w)","128(1)","306(2)",,"1.0792<sup>130</sup>",,"5.77<sup>12</sup>",,"sl H<sub>2</sub>O, eth, bz; vs EtOH, ctc, CS<sub>2</sub>",
589,"Benz[<i>a</i>]anthracene","1,2-Benzanthracene","C<sub>18</sub>H<sub>12</sub>","56-55-3",1909298,"228.288","lf (al)","160(2)",438,,,,"0.0000093<sup>25</sup>",,"i H<sub>2</sub>O; vs EtOH",
590,"Benz[<i>a</i>]anthracene-7,12-dione",,"C<sub>18</sub>H<sub>10</sub>O<sub>2</sub>","2498-66-0",2052941,"258.271",,"168(1)",,,,,,,"sl EtOH, eth, lig; s ace; vs bz, chl",
591,"Benzanthrone",,"C<sub>17</sub>H<sub>10</sub>O","82-05-3",,"230.260",,"173.0(3)",,,,,,,"sl bz",
592,"Benzene","[6]Annulene","C<sub>6</sub>H<sub>6</sub>","71-43-2",969212,"78.112","orth pr or liq","5.538(2)","80.08(7)",,"0.8788<sup>20</sup>","1.5011<sup>20</sup>","1.77<sup>20</sup>","12.7","sl H<sub>2</sub>O; msc EtOH, eth, ace, chl; s ctc",
593,"Benzeneacetaldehyde","Phenylacetaldehyde","C<sub>8</sub>H<sub>8</sub>O","122-78-1",385791,"120.149",,"33.5","202(5)",,"1.0272<sup>20</sup>","1.5255<sup>20</sup>",,"0.052","sl H<sub>2</sub>O; s ace; msc EtOH, eth",
594,"Benzeneacetamide","α-Phenylacetamide","C<sub>8</sub>H<sub>9</sub>NO","103-81-1",507886,"135.163",,157,,,,,,,"sl H<sub>2</sub>O, eth, bz; s EtOH",
595,"Benzeneacetic acid","Phenylacetic acid","C<sub>8</sub>H<sub>8</sub>O<sub>2</sub>","103-82-2",1099647,"136.149","lf, pl (peth)","76.7(2)","268(2)",,"1.228<sup>6</sup>",,"17.4<sup>25</sup>",,"sl H<sub>2</sub>O, chl; vs EtOH, eth; s ace; i lig",
596,"Benzeneacetic acid, hydrazide",,"C<sub>8</sub>H<sub>10</sub>N<sub>2</sub>O","937-39-3",775893,"150.177",,"115.5",,,,,,,,
597,"Benzeneacetic anhydride",,"C<sub>16</sub>H<sub>14</sub>O<sub>3</sub>","1555-80-2",1118168,"254.280","pr or nd (eth)","73.3",,"195<sup>12</sup>",,,,,"vs eth, chl",
598,"Benzeneacetonitrile","Benzyl cyanide","C<sub>8</sub>H<sub>7</sub>N","140-29-4",385941,"117.149","liq","-22.1(5)","232(2)",,"1.0205<sup>15</sup>","1.5211<sup>25</sup>",,"0.012",,
599,"Benzeneacetyl chloride","Phenylacetyl chloride","C<sub>8</sub>H<sub>7</sub>ClO","103-80-0",742254,"154.594",,,,"170<sup>250</sup>, 105<sup>24</sup>","1.1682<sup>20</sup>","1.5325<sup>20</sup>",,,"vs eth",
600,"Benzenearsonic acid",,"C<sub>6</sub>H<sub>7</sub>AsO<sub>3</sub>","98-05-5",2935741,"202.040","cry (w)","158 dec",,,,,,,"vs H<sub>2</sub>O, EtOH",
601,"Benzeneboronic acid",,"C<sub>6</sub>H<sub>7</sub>BO<sub>2</sub>","98-80-6",970972,"121.930",,219,,,,,,,"sl H<sub>2</sub>O; s EtOH, eth, bz",
602,"Benzenebutanoic acid","4-Phenylbutanoic acid","C<sub>10</sub>H<sub>12</sub>O<sub>2</sub>","1821-12-1",638180,"164.201","lf (w)","51(1)","296(2)",,,,,,"s H<sub>2</sub>O, EtOH, eth",
603,"Benzenebutanol","4-Phenyl-1-butanol","C<sub>10</sub>H<sub>14</sub>O","3360-41-6",2042122,"150.217",,,"264(3)","140<sup>14</sup>",,"1.5214<sup>20</sup>",,,,
604,"Benzenecarboperoxoic acid","Perbenzoic acid","C<sub>7</sub>H<sub>6</sub>O<sub>3</sub>","93-59-4",1210120,"138.121","mcl pl (peth)",42,,"100<sup>14</sup>",,,,,"vs ace, bz, eth, EtOH",
605,"Benzenecarbothioamide",,"C<sub>7</sub>H<sub>7</sub>NS","2227-79-4",606021,"137.203",,117,,,,,,,,
606,"Benzenecarbothioic acid",,"C<sub>7</sub>H<sub>6</sub>OS","98-91-9",1071790,"138.187","ye pl (HOAc)",24,,"86<sup>10</sup>","1.28<sup>20</sup>","1.6040<sup>20</sup>",,,"vs ace, bz, eth, EtOH",
607,"Benzenecarboximidamide, monohydrochloride",,"C<sub>7</sub>H<sub>9</sub>ClN<sub>2</sub>","1670-14-0",3594959,"156.612","orth pr (w +2)",169,,,,,,,"s H<sub>2</sub>O, EtOH; sl tfa",
608,"1,2-Benzenediamine","<i>o</i>-Phenylenediamine","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>","95-54-5",606074,"108.141","brsh ye lf (w) pl (chl)","103(1)","257(9)",,,,"31.1<sup>20</sup>",,"s H<sub>2</sub>O, eth, bz, chl; vs EtOH",
609,"1,3-Benzenediamine","<i>m</i>-Phenylenediamine","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>","108-45-2",471357,"108.141","orth (al)","65.5(9)","282(18)",,"1.0096<sup>58</sup>","1.6339<sup>58</sup>","36.1<sup>20</sup>",,"vs H<sub>2</sub>O; s EtOH, eth, bz",
610,"1,4-Benzenediamine","<i>p</i>-Phenylenediamine","C<sub>6</sub>H<sub>8</sub>N<sub>2</sub>","106-50-3",742029,"108.141","wh pl (bz, eth)","140.3(6)",267,,,,"35.7<sup>24</sup>",,"sl H<sub>2</sub>O; s EtOH, eth, bz, chl",
611,"1,2-Benzenediamine, dihydrochloride",,"C<sub>6</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","615-28-1",3912045,"181.062",,"250 dec",,,,,,,,
612,"1,3-Benzenediamine, dihydrochloride",,"C<sub>6</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","541-69-5",3911748,"181.062",,,,,,,,,"s H<sub>2</sub>O",
613,"1,4-Benzenediamine, dihydrochloride",,"C<sub>6</sub>H<sub>10</sub>Cl<sub>2</sub>N<sub>2</sub>","624-18-0",3911749,"181.062",,,,,,,,,"s H<sub>2</sub>O",
614,"1,2-Benzenedicarbonyl dichloride","Phthaloyl chloride","C<sub>8</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>","88-95-9",608200,"203.023",,"15.5","284(10)",,"1.4089<sup>20</sup>","1.5684<sup>20</sup>",,,,
615,"1,3-Benzenedicarbonyl dichloride",,"C<sub>8</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>","99-63-8",638342,"203.023","pr(eth)","43.5",276,,"1.3880<sup>17</sup>","1.570<sup>47</sup>",,,"sl H<sub>2</sub>O, EtOH; s eth",
616,"1,4-Benzenedicarbonyl dichloride",,"C<sub>8</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>","100-20-9",607796,"203.023","nd or pl (lig)","83.5",258,"125<sup>9</sup>",,,,,"s eth",
617,"1,2-Benzenedicarboxaldehyde",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","643-79-8",878317,"134.133","ye cry or nd (lig)","55.8",,"83<sup>0.8</sup>",,,,,"vs eth, EtOH",
618,"1,3-Benzenedicarboxaldehyde",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","626-19-7",1561038,"134.133","nd (dil al)","89(2)",246,"136<sup>13</sup>",,,,,"sl H<sub>2</sub>O, eth, chl; vs EtOH; s ace, bz",
619,"1,4-Benzenedicarboxaldehyde",,"C<sub>8</sub>H<sub>6</sub>O<sub>2</sub>","623-27-8",385863,"134.133","nd (w)",117,246,,,,,,"sl H<sub>2</sub>O; vs EtOH; s eth, chl, alk",
620,"1,2-Benzenedicarboxamide","Phthalamide","C<sub>8</sub>H<sub>8</sub>N<sub>2</sub>O<sub>2</sub>","88-96-0",1868220,"164.162","cry",222,"dec",,,,"5.9<sup>30</sup>",,"sl H<sub>2</sub>O, EtOH; i eth",
621,"1,4-Benzenedicarboxamide",,"C<sub>8</sub>H<sub>8</sub>N<sub>2</sub>O<sub>2</sub>","3010-82-0",2045548,"164.162","nd (w), pl (HOAc)","322.3",,,,,,,,
622,"1,3-Benzenedimethanamine","<i>m</i>-Xylene diamine","C<sub>8</sub>H<sub>12</sub>N<sub>2</sub>","1477-55-0",1099911,"136.194",,,247,,"1.052<sup>20</sup>",,,,"vs H<sub>2</sub>O, eth, EtOH",
